2025-04-29 09:23:34.328 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0012.wav
2025-04-29 09:23:37.674 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0012.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:23:37.674 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0012.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:23:37.675 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0013.opus
2025-04-29 09:23:37.675 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0013.wav
2025-04-29 09:23:40.109 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0013.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:23:40.109 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0013.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:23:40.110 | SUCCESS  | __main__:main:135 - Processing completed successfully
2025-04-29 09:24:02.569 | INFO     | __main__:main:122 - Starting WhatsApp voice note transcription process
2025-04-29 09:24:02.569 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:24:02.569 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0014.opus
2025-04-29 09:24:02.569 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0014.wav
2025-04-29 09:24:06.790 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0014.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:06.790 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0014.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:06.791 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0015.opus
2025-04-29 09:24:06.791 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0015.wav
2025-04-29 09:24:08.891 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0015.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:08.892 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0015.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:08.892 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0012.opus
2025-04-29 09:24:08.892 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0012.wav
2025-04-29 09:24:12.315 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0012.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:12.316 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0012.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:12.316 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0013.opus
2025-04-29 09:24:12.317 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0013.wav
2025-04-29 09:24:15.285 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0013.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:15.285 | ERROR    | __main__:process_files:116 - Failed to process PTT-20250428-WA0013.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:24:15.286 | SUCCESS  | __main__:main:135 - Processing completed successfully
2025-04-29 09:25:12.906 | INFO     | __main__:main:122 - Starting WhatsApp voice note transcription process
2025-04-29 09:25:12.906 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:25:12.906 | INFO     | __main__:convert_opus_to_wav:38 - WAV file already exists for PTT-20250428-WA0014.opus
2025-04-29 09:25:12.906 | INFO     | __main__:process_files:108 - Transcribing PTT-20250428-WA0014.wav
2025-04-29 09:25:16.646 | ERROR    | __main__:transcribe_audio:85 - Error transcribing PTT-20250428-WA0014.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
